creation_time,duration_sec,total_logical_reads,total_logical_writes,execution_count,,
19-05-25 17:54,0.484,59,0,1,,
19-05-25 17:54,11.032,384,4,6,,
19-05-25 17:54,1.226,1068,0,1,,
19-05-25 17:54,0.521,17,0,1,,
19-05-25 17:54,0.282,11,0,1,,
19-05-25 17:54,508.301,199012,0,1,,
19-05-25 17:54,6.061,93,0,1,,
19-05-25 17:54,0.468,32,0,1,,
19-05-25 17:54,0.31,8,0,1,,
19-05-25 17:54,0.076,0,0,1,,
19-05-25 17:54,0.056,0,0,2,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
